step, strain, right, left, 
23800, -0.002, -1.06879, 1.06879, 
23900, -0.002, -3.06257, 3.06257, 
24000, -0.002, -4.68033, 4.68033, 
24100, -0.002, -1.68466, 1.68466, 
24200, -0.002, -2.50498, 2.50498, 
24300, -0.002, -3.54591, 3.54591, 
24400, -0.002, -3.46565, 3.46565, 
24500, -0.002, 0.690079, -0.690079, 
24600, -0.002, -2.93519, 2.93519, 
24700, -0.002, -3.46253, 3.46253, 
24800, -0.002, -6.50105, 6.50105, 
24900, -0.002, -3.06541, 3.06541, 
25000, -0.002, -3.56208, 3.56208, 
25100, -0.002, -3.82067, 3.82067, 
25200, -0.002, -4.70653, 4.70653, 
25300, -0.002, -4.3983, 4.3983, 
25400, -0.002, -1.0343, 1.0343, 
25500, -0.002, -2.49216, 2.49216, 
25600, -0.002, -3.89341, 3.89341, 
25700, -0.002, -2.62435, 2.62435, 
25800, -0.002, -3.52379, 3.52379, 
25900, -0.002, 2.69559, -2.69559, 
26000, -0.002, -5.08231, 5.08231, 
26100, -0.002, -4.00793, 4.00793, 
26200, -0.002, -0.0433525, 0.0433525, 
26300, -0.002, -1.32237, 1.32237, 
26400, -0.002, -3.46835, 3.46835, 
26500, -0.002, -4.06008, 4.06008, 
26600, -0.002, -2.35715, 2.35715, 
26700, -0.002, -1.22484, 1.22484, 
26800, -0.002, -2.8901, 2.8901, 
26900, -0.002, -7.86464, 7.86464, 
27000, -0.002, -5.10385, 5.10385, 
27100, -0.002, -6.38172, 6.38172, 
27200, -0.002, -1.63586, 1.63586, 
27300, -0.002, -4.66549, 4.66549, 
27400, -0.002, -5.07249, 5.07249, 
27500, -0.002, -2.15264, 2.15264, 
27600, -0.002, -3.9291, 3.9291, 
27700, -0.002, 0.507948, -0.507948, 
27800, -0.002, -5.58955, 5.58955, 
27900, -0.002, -3.21198, 3.21198, 
28000, -0.002, -2.82976, 2.82976, 
28100, -0.002, -2.48909, 2.48909, 
28200, -0.002, -3.05507, 3.05507, 
28300, -0.002, -5.08048, 5.08048, 
28400, -0.002, -3.83221, 3.83221, 
28500, -0.002, -3.59691, 3.59691, 
28600, -0.002, -1.48473, 1.48473, 
28700, -0.002, -2.06611, 2.06611, 
28800, -0.002, -4.59404, 4.59404, 
28900, -0.002, -3.55066, 3.55066, 
29000, -0.002, -5.30581, 5.30581, 
29100, -0.002, -2.6457, 2.6457, 
29200, -0.002, -4.4665, 4.4665, 
29300, -0.002, -1.46568, 1.46568, 
29400, -0.002, -3.51057, 3.51057, 
29500, -0.002, -3.67138, 3.67138, 
29600, -0.002, -2.02885, 2.02885, 
29700, -0.002, -2.73117, 2.73117, 
29800, -0.002, -3.76973, 3.76973, 
29900, -0.002, -2.91593, 2.91593, 
30000, -0.004, -1.80953, 1.80953, 
30100, -0.004, -0.616867, 0.616867, 
30200, -0.004, -5.30448, 5.30448, 
30300, -0.004, -0.77626, 0.77626, 
30400, -0.004, -1.07544, 1.07544, 
30500, -0.004, 2.34143, -2.34143, 
30600, -0.004, -3.11909, 3.11909, 
30700, -0.004, -4.18813, 4.18813, 
30800, -0.004, -2.70179, 2.70179, 
30900, -0.004, -2.94983, 2.94983, 
31000, -0.004, -5.66805, 5.66805, 
31100, -0.004, -2.39607, 2.39607, 
31200, -0.004, -6.09865, 6.09865, 
31300, -0.004, -2.1191, 2.1191, 
31400, -0.004, -5.30378, 5.30378, 
31500, -0.004, -4.52846, 4.52846, 
31600, -0.004, -4.89545, 4.89545, 
31700, -0.004, -5.11457, 5.11457, 
31800, -0.004, 1.93414, -1.93414, 
31900, -0.004, -6.15642, 6.15642, 
32000, -0.004, -1.73172, 1.73172, 
32100, -0.004, -0.243374, 0.243374, 
32200, -0.004, -2.89169, 2.89169, 
32300, -0.004, -0.413975, 0.413975, 
32400, -0.004, -0.853527, 0.853527, 
32500, -0.004, -5.00906, 5.00906, 
32600, -0.004, -4.97258, 4.97258, 
32700, -0.004, -0.707745, 0.707745, 
32800, -0.004, -6.59748, 6.59748, 
32900, -0.004, -3.25321, 3.25321, 
33000, -0.004, -6.25892, 6.25892, 
33100, -0.004, 1.25046, -1.25046, 
33200, -0.004, -2.95501, 2.95501, 
33300, -0.004, -4.5976, 4.5976, 
33400, -0.004, -0.276075, 0.276075, 
33500, -0.004, -3.73995, 3.73995, 
33600, -0.004, -1.05789, 1.05789, 
33700, -0.004, -1.51959, 1.51959, 
33800, -0.004, -4.13662, 4.13662, 
33900, -0.004, -3.33558, 3.33558, 
34000, -0.004, -1.67596, 1.67596, 
34100, -0.004, -0.843028, 0.843028, 
34200, -0.004, -1.23659, 1.23659, 
34300, -0.004, -4.17699, 4.17699, 
34400, -0.004, -0.73608, 0.73608, 
34500, -0.004, -2.0096, 2.0096, 
34600, -0.004, -2.91013, 2.91013, 
34700, -0.004, -4.19742, 4.19742, 
34800, -0.004, -7.58874, 7.58874, 
34900, -0.004, -0.220861, 0.220861, 
35000, -0.004, -2.41065, 2.41065, 
35100, -0.004, -4.85608, 4.85608, 
35200, -0.004, -3.78976, 3.78976, 
35300, -0.004, -5.29973, 5.29973, 
35400, -0.004, -2.07621, 2.07621, 
35500, -0.004, -1.8517, 1.8517, 
35600, -0.004, -4.12474, 4.12474, 
35700, -0.004, -4.65103, 4.65103, 
35800, -0.004, -3.31411, 3.31411, 
35900, -0.004, -1.12648, 1.12648, 
36000, -0.004, -3.64763, 3.64763, 
36100, -0.004, -4.07203, 4.07203, 
36200, -0.004, -2.87654, 2.87654, 
36300, -0.004, -2.57268, 2.57268, 
36400, -0.004, -2.21175, 2.21175, 
36500, -0.004, -3.1229, 3.1229, 
36600, -0.004, -3.03027, 3.03027, 
36700, -0.004, -2.62968, 2.62968, 
36800, -0.004, -1.35832, 1.35832, 
36900, -0.004, -1.63803, 1.63803, 
37000, -0.004, -4.81352, 4.81352, 
37100, -0.004, -4.08733, 4.08733, 
37200, -0.004, -0.308153, 0.308153, 
37300, -0.004, -3.40924, 3.40924, 
37400, -0.004, -3.92565, 3.92565, 
37500, -0.004, -5.05625, 5.05625, 
37600, -0.004, -4.23424, 4.23424, 
37700, -0.004, -0.728495, 0.728495, 
37800, -0.004, -4.6574, 4.6574, 
37900, -0.004, -1.09816, 1.09816, 
38000, -0.004, -0.0547537, 0.0547537, 
38100, -0.004, -3.26103, 3.26103, 
38200, -0.004, 1.01128, -1.01128, 
38300, -0.004, -4.01695, 4.01695, 
38400, -0.004, -2.71218, 2.71218, 
38500, -0.004, -4.96747, 4.96747, 
38600, -0.004, -2.50641, 2.50641, 
38700, -0.004, -3.41047, 3.41047, 
38800, -0.004, -3.50057, 3.50057, 
38900, -0.004, -4.99417, 4.99417, 
39000, -0.004, -4.58211, 4.58211, 
39100, -0.004, -2.2022, 2.2022, 
39200, -0.004, -4.14965, 4.14965, 
39300, -0.004, -6.23501, 6.23501, 
39400, -0.004, -3.30472, 3.30472, 
39500, -0.004, -4.55824, 4.55824, 
39600, -0.004, -2.88167, 2.88167, 
39700, -0.004, -2.64336, 2.64336, 
39800, -0.004, -3.49158, 3.49158, 
39900, -0.004, -2.1937, 2.1937, 
40000, -0.006, -1.24771, 1.24771, 
40100, -0.006, -1.38192, 1.38192, 
40200, -0.006, -2.84211, 2.84211, 
40300, -0.006, -2.56282, 2.56282, 
40400, -0.006, -3.88533, 3.88533, 
40500, -0.006, -0.931506, 0.931506, 
40600, -0.006, -2.35354, 2.35354, 
40700, -0.006, -4.69186, 4.69186, 
40800, -0.006, -1.47673, 1.47673, 
40900, -0.006, 1.86966, -1.86966, 
41000, -0.006, -3.24806, 3.24806, 
41100, -0.006, -3.61505, 3.61505, 
41200, -0.006, -1.12542, 1.12542, 
41300, -0.006, -1.98804, 1.98804, 
41400, -0.006, -3.72076, 3.72076, 
41500, -0.006, -3.44702, 3.44702, 
41600, -0.006, -2.18679, 2.18679, 
41700, -0.006, -2.56339, 2.56339, 
41800, -0.006, -1.36612, 1.36612, 
41900, -0.006, -2.58128, 2.58128, 
42000, -0.006, -0.0874618, 0.0874618, 
42100, -0.006, -5.35198, 5.35198, 
42200, -0.006, -2.44029, 2.44029, 
42300, -0.006, -2.22655, 2.22655, 
42400, -0.006, -3.13911, 3.13911, 
42500, -0.006, -4.16485, 4.16485, 
42600, -0.006, -2.17337, 2.17337, 
42700, -0.006, -2.13899, 2.13899, 
42800, -0.006, -1.55765, 1.55765, 
42900, -0.006, -5.10785, 5.10785, 
43000, -0.006, -3.46957, 3.46957, 
43100, -0.006, -4.93464, 4.93464, 
43200, -0.006, -4.76525, 4.76525, 
43300, -0.006, -3.92934, 3.92934, 
43400, -0.006, -2.70494, 2.70494, 
43500, -0.006, -3.56387, 3.56387, 
43600, -0.006, -4.14193, 4.14193, 
43700, -0.006, -4.7096, 4.7096, 
43800, -0.006, -0.103746, 0.103746, 
43900, -0.006, -3.99918, 3.99918, 
44000, -0.006, -3.90847, 3.90847, 
44100, -0.006, -0.848172, 0.848172, 
44200, -0.006, -1.34739, 1.34739, 
44300, -0.006, -3.14409, 3.14409, 
44400, -0.006, 0.754249, -0.754249, 
44500, -0.006, -3.72624, 3.72624, 
44600, -0.006, 0.0252417, -0.0252417, 
44700, -0.006, -1.33371, 1.33371, 
44800, -0.006, -3.06317, 3.06317, 
44900, -0.006, -3.27695, 3.27695, 
45000, -0.006, -2.76002, 2.76002, 
45100, -0.006, -2.99357, 2.99357, 
45200, -0.006, -3.9329, 3.9329, 
45300, -0.006, -2.19145, 2.19145, 
45400, -0.006, -4.28957, 4.28957, 
45500, -0.006, 0.468176, -0.468176, 
45600, -0.006, 0.311836, -0.311836, 
45700, -0.006, -1.81279, 1.81279, 
45800, -0.006, -3.74257, 3.74257, 
45900, -0.006, -3.92299, 3.92299, 
46000, -0.006, -0.990317, 0.990317, 
46100, -0.006, -4.11514, 4.11514, 
46200, -0.006, -4.11194, 4.11194, 
46300, -0.006, -2.11785, 2.11785, 
46400, -0.006, -1.17553, 1.17553, 
46500, -0.006, -2.79992, 2.79992, 
46600, -0.006, -2.80806, 2.80806, 
46700, -0.006, -3.13317, 3.13317, 
46800, -0.006, -4.37994, 4.37994, 
46900, -0.006, -4.28098, 4.28098, 
47000, -0.006, -2.24678, 2.24678, 
47100, -0.006, -4.7033, 4.7033, 
47200, -0.006, -4.81383, 4.81383, 
47300, -0.006, -2.2676, 2.2676, 
47400, -0.006, -3.49926, 3.49926, 
47500, -0.006, -2.15769, 2.15769, 
47600, -0.006, -4.12375, 4.12375, 
47700, -0.006, -2.15117, 2.15117, 
47800, -0.006, -0.711664, 0.711664, 
47900, -0.006, -3.24982, 3.24982, 
48000, -0.006, -2.35799, 2.35799, 
48100, -0.006, -2.93625, 2.93625, 
48200, -0.006, -2.04009, 2.04009, 
48300, -0.006, 0.319985, -0.319985, 
48400, -0.006, -3.32205, 3.32205, 
48500, -0.006, 0.855166, -0.855166, 
48600, -0.006, -3.658, 3.658, 
48700, -0.006, -3.18479, 3.18479, 
48800, -0.006, -2.00289, 2.00289, 
48900, -0.006, -3.39353, 3.39353, 
49000, -0.006, -3.30594, 3.30594, 
49100, -0.006, -0.685906, 0.685906, 
49200, -0.006, -1.29444, 1.29444, 
49300, -0.006, -3.78627, 3.78627, 
49400, -0.006, -2.30732, 2.30732, 
49500, -0.006, -4.92299, 4.92299, 
49600, -0.006, -3.36033, 3.36033, 
49700, -0.006, -1.7749, 1.7749, 
49800, -0.006, -3.70024, 3.70024, 
49900, -0.006, -1.31907, 1.31907, 
50000, -0.008, -2.81099, 2.81099, 
50100, -0.008, -1.44043, 1.44043, 
50200, -0.008, -2.16986, 2.16986, 
50300, -0.008, -0.674747, 0.674747, 
50400, -0.008, -4.71875, 4.71875, 
50500, -0.008, -2.85323, 2.85323, 
50600, -0.008, -4.14635, 4.14635, 
50700, -0.008, -2.02049, 2.02049, 
50800, -0.008, -5.48287, 5.48287, 
50900, -0.008, -0.961007, 0.961007, 
51000, -0.008, -2.8939, 2.8939, 
51100, -0.008, -4.07481, 4.07481, 
51200, -0.008, -3.45186, 3.45186, 
51300, -0.008, -2.04562, 2.04562, 
51400, -0.008, -3.88792, 3.88792, 
51500, -0.008, -0.164908, 0.164908, 
51600, -0.008, -6.19404, 6.19404, 
51700, -0.008, -0.0258255, 0.0258255, 
51800, -0.008, -0.782424, 0.782424, 
51900, -0.008, 0.0608282, -0.0608282, 
52000, -0.008, -4.59083, 4.59083, 
52100, -0.008, 4.18701, -4.18701, 
52200, -0.008, -5.12905, 5.12905, 
52300, -0.008, 0.988234, -0.988234, 
52400, -0.008, -3.77259, 3.77259, 
52500, -0.008, -1.60183, 1.60183, 
52600, -0.008, -0.254987, 0.254987, 
52700, -0.008, -4.20066, 4.20066, 
52800, -0.008, -3.36222, 3.36222, 
52900, -0.008, -1.12161, 1.12161, 
53000, -0.008, -0.475006, 0.475006, 
53100, -0.008, -2.47171, 2.47171, 
53200, -0.008, -1.62128, 1.62128, 
53300, -0.008, -3.13428, 3.13428, 
53400, -0.008, -3.64373, 3.64373, 
53500, -0.008, -0.337792, 0.337792, 
53600, -0.008, -2.78806, 2.78806, 
53700, -0.008, -4.45876, 4.45876, 
53800, -0.008, 0.0137706, -0.0137706, 
53900, -0.008, -4.11983, 4.11983, 
54000, -0.008, -0.652774, 0.652774, 
54100, -0.008, -1.73628, 1.73628, 
54200, -0.008, -3.12364, 3.12364, 
54300, -0.008, -4.77488, 4.77488, 
